case_id,project_id,disease_id,voc_id,log2_fold_change,target_ppb,healthy_ppb,primary_site,primary_diagnosis,ajcc_pathologic_stage,stage_num,label_origin,study_id,source
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,ethylbenzene,0.65,1.098417737055451,0.7,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,hexane,-0.45,1.8301071199320318,2.5,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,isopropanol,-0.45,18.30107119932032,25.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,ethanol,0.3,147.73732960138994,120.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,ethane,1.654,7.867624453535659,2.5,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,phenol,-0.45,2.5621499679048445,3.5,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,pentane,0.7,13.808290738056003,8.5,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,benzene,0.65,1.2553345566348013,0.8,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,2_pentanone,-0.45,1.0248599871619377,1.4,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,decanal,-0.45,2.781762822296688,3.8,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,dodecane,-0.45,0.6588385631755315,0.9,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,isoprene,-0.4,79.57511974179589,105.0,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,acetone,0.4,629.4052734386705,477.0,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,2_butanone,0.4,1.583409492927473,1.2,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,toluene,0.35,1.9118409409788932,1.5,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,nonanal,0.5,7.0710678118654755,5.0,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,heptanal,0.55,4.538665657431439,3.1,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,hexanal,0.7,6.8229201293923785,4.2,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,acetaldehyde,-0.062,14.369028273340447,15.0,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
